day,time,longitude,latitude,altitude
	2016-08-22,06:35:29,,,
2016-08-22,06:35:33,,,
2016-08-22,06:35:36,,,
2016-08-22,06:35:39,,,
2016-08-22,06:35:44,,,
2016-08-22,06:35:48,,,
2016-08-22,06:35:52,,,
2016-08-22,06:35:55,,,
2016-08-22,06:35:59,,,
2016-08-22,06:36:03,,,
2016-08-22,06:36:07,,,
2016-08-22,06:36:10,,,
2016-08-22,06:36:16,,,
2016-08-22,06:36:19,,,
2016-08-22,06:36:25,,,
2016-08-22,06:36:28,,,
2016-08-22,06:36:30,,,
2016-08-22,06:36:34,,,
2016-08-22,06:36:37,,,
2016-08-22,06:36:41,,,
2016-08-22,06:36:44,,,
2016-08-22,06:36:47,,,
2016-08-22,06:36:52,,,
2016-08-22,06:36:55,,,
2016-08-22,06:36:59,,,
2016-08-22,06:37:02,,,
2016-08-22,06:37:05,,,
2016-08-22,06:37:08,,,
2016-08-22,06:37:11,,,
2016-08-22,06:37:14,,,
2016-08-22,06:37:17,,,
2016-08-22,06:37:20,,,
2016-08-22,06:37:23,,,
2016-08-22,06:37:26,,,
2016-08-22,06:37:30,,,
2016-08-22,06:37:34,,,
2016-08-22,06:37:38,,,
2016-08-22,06:37:42,,,
2016-08-22,06:37:45,,,
2016-08-22,06:37:47,,,
2016-08-22,06:37:51,,,
2016-08-22,06:37:54,,,
2016-08-22,06:37:57,,,
2016-08-22,06:38:00,,,
2016-08-22,06:38:02,,,
2016-08-22,06:38:06,,,
2016-08-22,06:38:08,,,
2016-08-22,06:38:11,,,
2016-08-22,06:38:14,,,
2016-08-22,06:38:17,,,
2016-08-22,06:38:20,,,
2016-08-22,06:38:23,,,
2016-08-22,06:38:26,,,
2016-08-22,06:38:29,,,
2016-08-22,06:38:32,,,
2016-08-22,06:38:35,,,
2016-08-22,06:38:37,,,
2016-08-22,06:38:41,,,
2016-08-22,06:38:43,,,
2016-08-22,06:38:47,,,
2016-08-22,06:38:50,,,
2016-08-22,06:38:52,,,
2016-08-22,06:38:55,,,
2016-08-22,06:38:58,,,
2016-08-22,06:39:01,,,
2016-08-22,06:39:11,,,
2016-08-22,06:39:14,,,
2016-08-22,06:39:17,,,
2016-08-22,06:39:20,,,
2016-08-22,06:39:26,,,
2016-08-22,06:39:29,,,
2016-08-22,06:39:31,,,
2016-08-22,06:39:34,,,
2016-08-22,06:39:36,,,
2016-08-22,06:39:40,,,
2016-08-22,06:39:45,,,
2016-08-22,06:39:48,,,
2016-08-22,06:39:50,,,
2016-08-22,06:39:56,,,
2016-08-22,06:39:58,,,
2016-08-22,06:40:04,,,
2016-08-22,06:40:08,,,
2016-08-22,06:40:11,,,
2016-08-22,06:40:15,,,
2016-08-22,06:40:18,,,
2016-08-22,06:40:22,,,
2016-08-22,06:40:26,,,
2016-08-22,06:40:29,,,
2016-08-22,06:40:35,,,
2016-08-22,06:40:41,,,
2016-08-22,06:41:36,,,
2016-08-22,06:41:43,,,
2016-08-22,06:41:46,,,
2016-08-22,06:42:01,,,
2016-08-22,06:42:07,,,
2016-08-22,06:42:11,,,
2016-08-22,06:42:15,,,
2016-08-22,06:42:20,,,
2016-08-22,06:42:26,,,
2016-08-22,06:42:30,,,
2016-08-22,06:42:34,,,
2016-08-22,06:42:39,,,
2016-08-22,06:42:44,,,
2016-08-22,06:42:48,,,
2016-08-22,06:42:54,,,
2016-08-22,06:42:59,,,
2016-08-22,06:43:04,,,
2016-08-22,06:43:08,,,
2016-08-22,06:43:12,,,
2016-08-22,06:43:15,,,
2016-08-22,06:43:20,,,
2016-08-22,06:43:23,,,
2016-08-22,06:43:27,,,
2016-08-22,06:43:30,,,
2016-08-22,06:43:34,,,
2016-08-22,06:43:38,,,
2016-08-22,06:43:41,,,
2016-08-22,06:43:45,,,
2016-08-22,06:43:49,,,
2016-08-22,06:43:53,,,
2016-08-22,06:43:57,,,
2016-08-22,06:44:01,,,
2016-08-22,06:44:05,,,
2016-08-22,06:44:08,,,
2016-08-22,06:44:10,,,
2016-08-22,06:44:19,,,
2016-08-22,06:44:22,,,
2016-08-22,06:44:24,,,
2016-08-22,06:44:29,,,
2016-08-22,06:44:32,,,
2016-08-22,06:44:34,,,
2016-08-22,06:44:39,,,
2016-08-22,06:44:42,,,
2016-08-22,06:44:46,,,
2016-08-22,06:44:49,,,
2016-08-22,06:44:54,,,
2016-08-22,06:44:58,,,
2016-08-22,06:45:00,,,
2016-08-22,06:45:04,,,
2016-08-22,06:45:07,,,
2016-08-22,06:45:09,,,
2016-08-22,06:45:12,,,
2016-08-22,06:45:14,,,
2016-08-22,06:45:19,,,
2016-08-22,06:45:28,,,
2016-08-22,06:45:37,,,
2016-08-22,06:45:42,,,
2016-08-22,06:45:44,,,
2016-08-22,06:45:51,,,
2016-08-22,06:45:56,,,
2016-08-22,06:45:57,,,
2016-08-22,06:45:58,,,
2016-08-22,06:46:00,,,
2016-08-22,06:46:02,,,
2016-08-22,06:46:03,,,
2016-08-22,06:46:05,,,
2016-08-22,06:46:06,,,
2016-08-22,06:46:07,,,
2016-08-22,06:46:08,,,
2016-08-22,06:46:09,,,
2016-08-22,06:46:10,,,
2016-08-22,06:46:11,,,
2016-08-22,06:46:12,,,
2016-08-22,06:46:13,,,
2016-08-22,06:46:14,,,
2016-08-22,06:46:16,,,
2016-08-22,06:46:21,,,
2016-08-22,06:46:25,,,
2016-08-22,06:46:27,,,
2016-08-22,06:46:29,,,
2016-08-22,06:46:33,,,
2016-08-22,06:46:36,,,
2016-08-22,06:46:39,,,
2016-08-22,06:46:42,,,
2016-08-22,06:46:45,,,
2016-08-22,06:46:48,,,
2016-08-22,06:46:53,,,
2016-08-22,06:46:56,,,
2016-08-22,06:46:58,,,
2016-08-22,06:47:03,,,
2016-08-22,06:47:06,,,
2016-08-22,06:47:08,,,
2016-08-22,06:47:12,,,
2016-08-22,06:47:16,,,
2016-08-22,06:47:20,,,
2016-08-22,06:47:23,,,
2016-08-22,06:48:02,,,
2016-08-22,06:48:04,,,
2016-08-22,06:48:07,,,
2016-08-22,06:48:11,,,
2016-08-22,06:48:15,,,
2016-08-22,06:48:17,,,
2016-08-22,06:48:22,,,
2016-08-22,06:48:26,,,
2016-08-22,06:48:31,,,
2016-08-22,06:48:33,,,
2016-08-22,06:48:37,,,
2016-08-22,06:48:39,,,
2016-08-22,06:48:42,,,
2016-08-22,06:48:45,,,
2016-08-22,06:48:48,,,
2016-08-22,06:48:50,,,
2016-08-22,06:48:54,,,
2016-08-22,06:49:02,,,
2016-08-22,06:49:04,,,
2016-08-22,06:49:06,,,
2016-08-22,06:49:08,,,
2016-08-22,06:49:10,,,
2016-08-22,06:49:14,,,
2016-08-22,06:49:16,,,
2016-08-22,06:49:18,,,
2016-08-22,06:49:24,,,
2016-08-22,06:49:28,,,
2016-08-22,06:49:32,,,
2016-08-22,06:49:37,,,
2016-08-22,06:49:40,,,
2016-08-22,06:49:45,,,
2016-08-22,06:49:49,,,
2016-08-22,06:49:53,,,
2016-08-22,06:49:57,,,
2016-08-22,06:50:00,,,
2016-08-22,06:50:11,,,
2016-08-22,06:50:16,,,
2016-08-22,06:50:19,,,
2016-08-22,06:50:21,,,
2016-08-22,06:50:25,,,
2016-08-22,06:50:28,,,
2016-08-22,06:50:30,,,
2016-08-22,06:50:34,,,
2016-08-22,06:50:38,,,
2016-08-22,06:50:41,,,
2016-08-22,06:50:45,,,
2016-08-22,06:50:49,,,
2016-08-22,06:50:52,,,
2016-08-22,06:50:57,,,
2016-08-22,06:51:01,,,
2016-08-22,06:51:07,,,
2016-08-22,06:51:12,,,
2016-08-22,06:51:16,,,
2016-08-22,06:51:19,,,
2016-08-22,06:51:24,,,
2016-08-22,06:51:27,,,
2016-08-22,06:51:31,,,
2016-08-22,06:51:31,,,
2016-08-22,06:51:33,,,
2016-08-22,06:51:35,,,
2016-08-22,06:51:36,,,
2016-08-22,06:51:37,,,
2016-08-22,06:51:38,,,
2016-08-22,06:51:41,,,
2016-08-22,06:51:41,,,
2016-08-22,06:51:43,,,
2016-08-22,06:51:44,,,
2016-08-22,06:51:45,,,
2016-08-22,06:51:46,,,
2016-08-22,06:51:48,,,
2016-08-22,06:51:48,,,
2016-08-22,06:51:49,,,
2016-08-22,06:51:50,,,
2016-08-22,06:51:52,,,
2016-08-22,06:51:54,,,
2016-08-22,06:51:56,,,
2016-08-22,06:51:57,,,
2016-08-22,06:51:58,,,
2016-08-22,06:52:00,,,
2016-08-22,06:52:01,,,
2016-08-22,06:52:02,,,
2016-08-22,06:52:04,,,
2016-08-22,06:52:06,,,
